data_inizio, data_fine, tipologia, id_giocatore
2019-12-13,2020-03-12,trimestrale,491082
2022-09-06,2023-09-06,annuale,440646
2022-12-26,2023-01-25,mensile,498626
2022-12-04,2023-12-04,annuale,492850
2018-02-21,2018-03-23,mensile,577785
2020-02-16,2020-03-17,mensile,590178
2021-01-17,2021-02-16,mensile,561097
2022-06-11,2022-07-11,mensile,512351
2022-08-14,2022-11-12,trimestrale,417418
2022-03-09,2022-06-07,trimestrale,422008
2018-03-12,2018-04-11,mensile,512279
2022-02-01,2022-03-03,mensile,555158
2022-11-06,2022-12-06,mensile,491173
2018-05-23,2018-08-21,trimestrale,504288
2022-05-19,2022-06-18,mensile,556508
2020-09-23,2020-10-23,mensile,514332
2021-04-29,2021-05-29,mensile,449656
2021-09-16,2021-10-16,mensile,425661
2019-09-19,2020-09-18,annuale,526183
2021-02-15,2021-03-17,mensile,527258
2022-07-30,2023-07-30,annuale,467579
2021-02-13,2022-02-13,annuale,580715
2019-03-07,2019-04-06,mensile,478238
2022-04-21,2022-05-21,mensile,583970
2018-10-09,2019-10-09,annuale,512840
2021-02-18,2021-05-19,trimestrale,496305
2022-12-06,2023-12-06,annuale,556645
2022-03-01,2023-03-01,annuale,544259
2020-10-20,2021-01-18,trimestrale,477881
2018-11-15,2019-11-15,annuale,476081
2019-08-03,2019-11-01,trimestrale,557562
2020-12-11,2021-03-11,trimestrale,538709
2022-12-22,2023-12-22,annuale,525391
2020-09-09,2020-10-09,mensile,486277
2021-12-26,2022-01-25,mensile,470009
2018-03-14,2018-06-12,trimestrale,525688
2021-05-15,2022-05-15,annuale,521609
2018-12-13,2019-12-13,annuale,481340
2018-08-18,2019-08-18,annuale,421943
2021-05-26,2021-06-25,mensile,592126
2018-10-26,2018-11-25,mensile,402886
2021-01-27,2021-02-26,mensile,495641
2019-07-29,2020-07-28,annuale,543042
2018-08-03,2018-11-01,trimestrale,406279
2022-07-01,2023-07-01,annuale,489131
2018-10-23,2019-10-23,annuale,450689
2022-08-28,2023-08-28,annuale,417671
2019-03-10,2020-03-09,annuale,463442
2019-01-31,2019-03-02,mensile,586275
2021-09-21,2021-12-20,trimestrale,558324
2023-01-31,2024-01-31,annuale,414044
2018-03-30,2018-04-29,mensile,458913
2020-05-29,2020-06-28,mensile,520032
2019-09-09,2019-10-09,mensile,565298
2019-10-21,2020-01-19,trimestrale,419694
2018-06-26,2018-07-26,mensile,446826
2019-12-18,2020-03-17,trimestrale,472361
2022-06-22,2022-09-20,trimestrale,447893
2022-12-21,2023-03-21,trimestrale,549031
2021-08-30,2022-08-30,annuale,512780
2021-05-18,2021-06-17,mensile,533528
2020-03-08,2020-04-07,mensile,444657
2018-02-11,2019-02-11,annuale,562078
2020-05-22,2020-08-20,trimestrale,558874
2020-11-24,2021-11-24,annuale,503528
2022-05-13,2022-06-12,mensile,559980
2018-06-10,2018-07-10,mensile,415561
2022-10-27,2023-01-25,trimestrale,503284
2021-02-25,2021-03-27,mensile,425077
2021-10-25,2021-11-24,mensile,447849
2018-11-24,2019-02-22,trimestrale,591879
2019-05-02,2019-06-01,mensile,469003
2019-12-01,2020-11-30,annuale,407857
2020-11-20,2021-11-20,annuale,529682
2020-02-18,2021-02-17,annuale,493270
2019-09-11,2019-12-10,trimestrale,415222
2019-02-21,2019-03-23,mensile,504726
2019-01-03,2020-01-03,annuale,463560
2021-10-30,2022-10-30,annuale,598018
2019-09-06,2019-12-05,trimestrale,479187
2019-04-12,2019-07-11,trimestrale,412619
2022-01-28,2022-04-28,trimestrale,493789
2021-07-29,2022-07-29,annuale,500244
2021-11-01,2022-01-30,trimestrale,402056
2019-05-16,2019-06-15,mensile,574959
2019-06-21,2019-07-21,mensile,575519
2020-11-12,2021-02-10,trimestrale,544126
2019-11-17,2020-11-16,annuale,429075
2020-07-22,2021-07-22,annuale,584594
2021-09-25,2021-12-24,trimestrale,537668
2021-02-26,2022-02-26,annuale,565641
2021-06-08,2021-09-06,trimestrale,454413
2018-06-15,2018-07-15,mensile,441856
2018-03-31,2018-06-29,trimestrale,522509
2019-01-01,2019-04-01,trimestrale,482598
2019-08-17,2019-11-15,trimestrale,600228
2022-10-20,2023-01-18,trimestrale,471218
2020-07-29,2020-10-27,trimestrale,438727
2022-03-27,2023-03-27,annuale,468761
2021-11-08,2022-11-08,annuale,451382
2021-11-15,2022-11-15,annuale,583833
2019-02-23,2019-05-24,trimestrale,433931
2022-06-08,2023-06-08,annuale,558533
2021-02-13,2021-03-15,mensile,466655
2019-01-13,2019-02-12,mensile,493717
2019-09-19,2019-12-18,trimestrale,483849
2020-04-18,2020-07-17,trimestrale,594136
2021-11-07,2022-11-07,annuale,460760
2019-09-09,2019-10-09,mensile,580478
2018-11-06,2019-02-04,trimestrale,446802
2022-09-17,2023-09-17,annuale,545456
2018-11-16,2018-12-16,mensile,471985
2021-04-27,2021-07-26,trimestrale,449397
2018-03-19,2018-06-17,trimestrale,508652
2019-07-21,2020-07-20,annuale,473045
2018-07-24,2018-10-22,trimestrale,466264
2020-02-29,2020-03-30,mensile,519618
2022-12-06,2023-01-05,mensile,512183
2019-06-15,2019-07-15,mensile,499132
2020-08-01,2021-08-01,annuale,445148
2018-06-27,2018-09-25,trimestrale,553284
2022-03-25,2022-04-24,mensile,416538
2021-06-11,2021-07-11,mensile,512431
2020-05-20,2020-08-18,trimestrale,490455
2019-09-19,2019-12-18,trimestrale,489429
2019-01-12,2019-02-11,mensile,597349
2022-12-12,2023-12-12,annuale,540315
2020-07-22,2020-10-20,trimestrale,425866
2021-02-18,2021-05-19,trimestrale,532622
2020-10-31,2020-11-30,mensile,440304
2021-11-24,2022-02-22,trimestrale,420289
2022-01-31,2022-03-02,mensile,568534
2023-01-21,2024-01-21,annuale,491398
2019-09-30,2019-10-30,mensile,432106
2021-06-01,2022-06-01,annuale,443296
2022-04-05,2022-07-04,trimestrale,477308
2019-01-02,2020-01-02,annuale,480386
2019-08-09,2019-11-07,trimestrale,432199
2020-07-26,2020-10-24,trimestrale,421859
2019-03-28,2019-04-27,mensile,429428
2021-07-27,2022-07-27,annuale,493562
2022-08-27,2022-11-25,trimestrale,580306
2020-11-14,2021-11-14,annuale,419724
2022-02-15,2022-03-17,mensile,550178
2020-03-29,2021-03-29,annuale,521649
2018-05-21,2018-06-20,mensile,467187
2022-01-01,2022-04-01,trimestrale,418000
2019-04-28,2019-05-28,mensile,540024
2021-09-22,2022-09-22,annuale,587737
2018-12-03,2019-12-03,annuale,510909
2019-02-12,2019-03-14,mensile,465541
2019-08-29,2019-11-27,trimestrale,521861
2022-09-13,2022-12-12,trimestrale,466085
2019-04-07,2020-04-06,annuale,545249
2018-10-31,2019-01-29,trimestrale,554862
2018-05-22,2018-06-21,mensile,594538
2022-09-26,2022-12-25,trimestrale,506133
2018-10-18,2018-11-17,mensile,526570
2019-03-05,2020-03-04,annuale,588311
2020-08-01,2021-08-01,annuale,508320
2020-04-07,2020-05-07,mensile,495379
2022-07-06,2023-07-06,annuale,436566
2019-04-08,2019-05-08,mensile,458403
2020-04-26,2020-07-25,trimestrale,577442
2019-01-29,2019-02-28,mensile,521217
2021-10-21,2021-11-20,mensile,514284
2023-01-10,2023-02-09,mensile,566615
2020-02-16,2020-03-17,mensile,505076
2018-10-29,2019-01-27,trimestrale,464810
2022-11-09,2023-11-09,annuale,535997
2020-07-01,2020-09-29,trimestrale,406922
2019-05-11,2019-08-09,trimestrale,512083
2018-08-24,2018-11-22,trimestrale,407498
2022-08-10,2023-08-10,annuale,459729
2021-08-03,2021-11-01,trimestrale,479698
2018-03-03,2018-04-02,mensile,519431
2019-11-11,2020-11-10,annuale,539097
2019-07-17,2020-07-16,annuale,518368
2020-03-08,2021-03-08,annuale,492900
2019-12-03,2020-03-02,trimestrale,408084
2022-07-18,2022-10-16,trimestrale,492528
2020-09-29,2020-10-29,mensile,430411
2020-06-16,2020-07-16,mensile,578467
2021-07-15,2021-08-14,mensile,489728
2020-04-22,2021-04-22,annuale,494602
2020-11-09,2021-11-09,annuale,585773
2019-07-15,2019-10-13,trimestrale,529174
2022-08-06,2022-11-04,trimestrale,428845
2023-01-18,2024-01-18,annuale,544484
2022-01-24,2023-01-24,annuale,538860
2019-11-22,2019-12-22,mensile,480318
2020-11-07,2021-02-05,trimestrale,543580
2018-02-04,2019-02-04,annuale,488147
2022-09-01,2022-10-01,mensile,592906
2019-11-12,2019-12-12,mensile,434117
2018-09-09,2019-09-09,annuale,414501
2021-02-10,2022-02-10,annuale,570262
2022-06-03,2022-07-03,mensile,482287
2022-11-26,2023-02-24,trimestrale,436544
2021-03-04,2021-06-02,trimestrale,437145
2021-09-19,2022-09-19,annuale,475033
2018-03-03,2018-06-01,trimestrale,423655
2019-08-15,2019-09-14,mensile,445387
2020-02-12,2020-03-13,mensile,423671
2021-10-04,2022-01-02,trimestrale,407521
2018-06-01,2019-06-01,annuale,442755
2019-05-25,2020-05-24,annuale,423200
2022-02-13,2022-05-14,trimestrale,472537
2022-01-11,2022-04-11,trimestrale,600207
2019-06-17,2019-07-17,mensile,508365
2022-12-20,2023-01-19,mensile,498584
2018-04-10,2018-07-09,trimestrale,514458
2021-12-22,2022-01-21,mensile,515458
2022-05-27,2022-08-25,trimestrale,442167
2021-11-01,2022-11-01,annuale,401917
2018-10-10,2018-11-09,mensile,426979
2018-05-31,2019-05-31,annuale,558207
2020-09-21,2020-12-20,trimestrale,555265
2022-07-04,2022-08-03,mensile,452247
2022-04-18,2023-04-18,annuale,514149
2022-12-08,2023-03-08,trimestrale,430446
2020-03-19,2020-06-17,trimestrale,439706
2020-06-14,2020-07-14,mensile,444668
2020-01-17,2020-02-16,mensile,407866
2021-12-25,2022-01-24,mensile,569932
2022-06-20,2022-09-18,trimestrale,517169
2020-07-04,2021-07-04,annuale,590785
2022-08-30,2023-08-30,annuale,475822
2020-11-28,2021-02-26,trimestrale,575149
2020-08-10,2021-08-10,annuale,409885
2020-07-20,2020-10-18,trimestrale,597375
2022-11-24,2023-02-22,trimestrale,552140
2018-08-30,2018-11-28,trimestrale,498057
2022-07-01,2022-09-29,trimestrale,453356
2019-11-14,2020-11-13,annuale,467699
2020-09-08,2021-09-08,annuale,443579
2020-07-20,2021-07-20,annuale,577603
2018-09-17,2018-12-16,trimestrale,459050
2022-06-16,2022-07-16,mensile,436437
2019-01-30,2020-01-30,annuale,599118
2019-01-16,2020-01-16,annuale,470729
2019-12-01,2020-11-30,annuale,569647
2018-05-08,2018-06-07,mensile,545845
2019-10-18,2019-11-17,mensile,555861
2021-05-23,2021-08-21,trimestrale,473950
2020-08-15,2020-11-13,trimestrale,421886
2021-12-10,2022-03-10,trimestrale,599998
2021-02-06,2022-02-06,annuale,550470
2020-11-23,2021-11-23,annuale,504831
2020-08-19,2021-08-19,annuale,595175
2018-03-16,2019-03-16,annuale,534611
2020-08-07,2020-09-06,mensile,592337
2019-06-15,2019-09-13,trimestrale,523505
2018-12-08,2019-12-08,annuale,550616
2018-11-12,2018-12-12,mensile,484014
2019-01-22,2020-01-22,annuale,433101
2020-02-26,2020-05-26,trimestrale,592034
2020-05-20,2020-06-19,mensile,592955
2018-11-04,2019-11-04,annuale,491789
2019-01-08,2019-02-07,mensile,501128
2021-11-10,2022-02-08,trimestrale,495572
2019-09-29,2020-09-28,annuale,492263
2020-06-15,2020-07-15,mensile,585769
2018-12-24,2019-12-24,annuale,570217
2020-05-21,2021-05-21,annuale,554471
2018-10-05,2019-10-05,annuale,436016
2022-01-14,2022-04-14,trimestrale,566050
2019-08-23,2020-08-22,annuale,419426
2020-02-05,2020-03-06,mensile,531318
2021-08-19,2022-08-19,annuale,442376
2019-03-14,2019-04-13,mensile,544142
2018-03-25,2019-03-25,annuale,489102
2021-11-30,2022-02-28,trimestrale,519039
2018-12-30,2019-03-30,trimestrale,507157
2021-02-13,2021-03-15,mensile,484950
2021-07-24,2022-07-24,annuale,417091
2020-03-02,2020-05-31,trimestrale,432951
2018-09-01,2018-11-30,trimestrale,427581
2018-03-13,2018-04-12,mensile,585337
2020-02-01,2021-01-31,annuale,534553
2022-11-03,2022-12-03,mensile,416539
2020-06-05,2020-09-03,trimestrale,517037
2020-02-20,2021-02-19,annuale,475018
2018-11-21,2019-02-19,trimestrale,525813
2019-07-27,2019-10-25,trimestrale,509785
2020-09-13,2020-12-12,trimestrale,529303
2022-05-08,2023-05-08,annuale,491343
2019-05-11,2019-08-09,trimestrale,547766
2019-07-21,2020-07-20,annuale,546609
2021-06-12,2021-07-12,mensile,594035
2021-07-07,2022-07-07,annuale,557893
