ora_inizio,data,id_giocatore,punteggio,ora_fine,id_pista
15:18,2020-02-13,478335,263,18:42,6
11:37,2022-01-16,572726,238,13:20,10
14:02,2021-03-31,427501,257,18:50,5
09:39,2020-08-14,412604,284,11:16,2
12:13,2021-01-12,521296,242,21:46,12
20:37,2020-05-24,426321,300,21:12,14
21:44,2021-10-06,504636,226,21:47,12
09:41,2022-02-25,583241,247,15:21,11
13:37,2020-07-10,510280,264,15:33,8
21:04,2020-02-12,426537,116,21:56,5
20:02,2020-10-17,547811,42,20:02,15
19:56,2021-09-07,419132,201,21:37,3
18:19,2022-09-20,451504,65,18:39,5
21:28,2021-05-06,478751,7,21:30,11
21:20,2022-03-29,542543,10,21:57,7
17:45,2021-10-13,551652,68,19:49,9
10:17,2020-05-12,420656,153,10:23,6
11:12,2020-10-21,460495,169,13:20,8
15:46,2022-10-24,489075,260,18:50,11
15:25,2021-07-15,437427,226,17:42,10
13:06,2020-09-18,513245,274,19:46,8
17:35,2021-12-13,528540,119,19:06,3
21:32,2020-03-31,468529,127,21:35,8
17:55,2020-10-29,409919,96,18:29,10
13:04,2020-01-02,502865,246,18:32,15
14:03,2021-05-28,592428,212,19:28,6
20:55,2022-11-11,522757,118,21:09,7
20:43,2021-05-03,600095,5,20:55,11
18:34,2020-02-11,477507,229,19:34,11
20:40,2022-10-16,573163,125,21:08,9
13:30,2020-07-14,432421,99,14:57,7
10:31,2021-08-27,514481,51,15:58,8
13:22,2023-01-20,460121,154,21:24,5
16:58,2020-05-13,528625,229,20:47,6
10:15,2021-06-13,407970,60,14:18,6
14:18,2020-02-11,545940,297,14:23,8
10:17,2022-12-15,411988,81,15:53,13
21:26,2023-02-01,452127,245,21:36,15
13:09,2020-11-07,520945,207,14:17,12
21:36,2021-11-29,600111,90,21:52,11
20:04,2021-02-25,576000,56,21:27,11
17:35,2021-04-23,445129,251,20:32,2
19:45,2021-05-11,577783,159,19:52,12
21:43,2020-03-06,581046,107,21:59,9
21:04,2021-03-10,489516,145,21:52,5
12:54,2021-09-11,452677,30,17:43,10
11:47,2021-09-06,600186,229,13:27,13
15:13,2021-12-26,447887,111,16:19,3
20:19,2022-08-23,529669,121,20:40,14
13:27,2021-01-28,455889,66,13:41,6
16:26,2021-02-03,419670,244,21:34,11
16:09,2021-01-22,529367,263,18:05,10
15:38,2022-06-18,424727,44,17:58,13
18:52,2022-05-07,524971,99,21:20,12
17:59,2020-01-29,430025,213,19:31,4
09:46,2020-05-29,577924,225,12:02,14
13:19,2021-05-01,504604,199,14:36,11
18:23,2021-04-04,415476,22,20:31,6
15:25,2021-05-26,564548,175,17:16,7
15:06,2022-02-22,539832,81,18:00,12
13:05,2022-05-22,477345,196,16:33,7
11:26,2020-09-29,553454,137,11:55,13
16:49,2021-12-29,453361,172,21:06,7
14:24,2020-04-27,504753,155,20:56,15
13:18,2022-08-07,508260,175,20:55,12
19:31,2022-05-29,443181,12,20:43,15
19:54,2021-09-05,416468,114,21:25,7
11:47,2022-10-14,503559,30,12:40,9
19:02,2022-07-12,481795,145,20:17,13
15:30,2020-10-25,544303,261,19:53,5
09:45,2022-07-21,523493,79,18:25,12
11:30,2020-03-30,446390,37,17:01,2
10:56,2022-08-20,528895,150,13:19,9
10:27,2020-07-06,543791,209,18:48,14
16:47,2021-08-10,584361,242,17:35,8
18:30,2021-02-11,517751,91,19:32,9
14:50,2021-03-29,555322,135,18:38,1
16:55,2022-01-21,422221,219,20:19,4
19:12,2022-10-31,419203,104,19:52,9
14:31,2021-12-07,454031,143,15:11,9
18:35,2020-08-11,447375,275,21:44,14
12:36,2021-06-29,439836,214,14:13,2
16:18,2022-08-03,577971,40,18:18,3
10:29,2022-07-20,413064,81,19:06,14
09:02,2021-01-13,462960,30,14:28,14
21:12,2021-05-18,428413,237,21:32,12
18:35,2020-12-05,497915,163,20:38,10
16:05,2020-06-18,544864,98,16:47,11
10:38,2020-01-05,571572,239,15:53,6
11:58,2020-11-12,516888,277,20:08,13
19:47,2020-06-20,406387,3,20:17,4
20:57,2022-10-26,544204,39,21:26,5
12:51,2022-10-01,552809,277,17:53,1
17:20,2023-01-25,474629,265,20:59,7
13:05,2020-08-04,567709,106,15:59,4
10:47,2023-01-20,530354,69,11:29,12
10:21,2021-03-26,484669,73,20:42,4
09:06,2022-10-30,514062,166,12:33,14
20:20,2020-08-27,531945,208,20:52,2
10:31,2021-09-28,520591,19,16:30,14
09:15,2022-02-17,424435,295,10:12,6
18:20,2022-09-23,531088,65,19:42,11
18:51,2020-02-06,416301,95,19:39,10
16:22,2022-10-20,423158,196,18:19,13
11:08,2022-10-06,575088,232,18:43,2
20:46,2020-08-29,576881,102,20:51,6
12:28,2022-01-08,589440,14,15:30,15
20:43,2020-04-09,401300,11,20:57,14
18:12,2022-07-13,527586,3,20:56,14
14:48,2023-01-10,530092,111,17:05,1
15:12,2020-07-04,450813,196,15:48,6
21:31,2021-01-24,547391,139,21:38,7
12:25,2022-02-03,416767,94,21:48,5
14:05,2020-07-30,450781,85,17:21,9
09:28,2022-05-04,419796,18,13:13,2
18:48,2020-11-22,537712,12,19:02,2
13:23,2022-06-12,599833,178,19:18,5
20:12,2020-10-17,600193,34,20:13,1
09:46,2020-03-09,434887,25,21:18,5
17:06,2020-06-07,431196,32,17:35,2
21:23,2021-05-16,473062,128,21:24,9
20:43,2020-06-27,415242,71,21:59,2
16:22,2020-10-09,412671,257,17:27,8
21:19,2020-09-13,546129,119,21:47,7
16:02,2022-10-29,525857,217,17:30,7
15:28,2021-02-14,452309,291,15:40,5
10:31,2020-09-15,461892,254,16:23,7
20:25,2021-08-13,475817,136,21:17,10
18:46,2020-04-04,494139,247,19:08,4
18:21,2022-12-30,492131,87,19:24,14
14:59,2023-01-26,429967,19,16:15,14
12:56,2020-02-04,596709,13,16:13,13
